Treatment,Control
1.0,0.6000000238418579
1.0,1.0
1.0,0.6000000238418579
0.6000000238418579,0.8333333134651184
1.0,0.0
1.0,1.0
1.0,1.0
0.75,0.19999998807907104
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,0.5
1.0,1.0
1.0,0.800000011920929
1.0,1.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.800000011920929
1.0,1.0
1.0,0.5
1.0,1.0
1.0,0.5
1.0,1.0
0.800000011920929,0.25
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333134651184
0.75,0.25
1.0,0.800000011920929
0.75,1.0
0.25,1.0
1.0,0.75
1.0,0.0
1.0,0.25
1.0,0.800000011920929
1.0,0.0
1.0,0.800000011920929
1.0,1.0
1.0,0.0
0.5,0.5
1.0,1.0
1.0,0.1428571343421936
1.0,0.0
1.0,1.0
1.0,0.5
0.800000011920929,1.0
1.0,0.3999999761581421
0.800000011920929,0.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,0.6000000238418579
1.0,0.25
1.0,1.0
1.0,1.0
1.0,0.800000011920929
1.0,1.0
0.75,1.0
1.0,0.75
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.19999998807907104
0.75,1.0
0.8333333134651184,0.5
1.0,1.0
1.0,1.0
0.75,0.25
0.800000011920929,1.0
1.0,0.0
0.3999999761581421,1.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
1.0,0.5
0.75,0.0
0.75,1.0
1.0,1.0
1.0,0.5
1.0,1.0
1.0,0.0
0.75,0.6666666269302368
1.0,1.0
0.800000011920929,0.5
1.0,0.800000011920929
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.19999998807907104
0.8333333134651184,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.75,1.0
1.0,1.0
0.25,1.0
1.0,0.6000000238418579
1.0,1.0
1.0,1.0
1.0,1.0
0.75,1.0
1.0,1.0
0.75,0.75
0.8333333134651184,0.0
1.0,0.25
1.0,1.0
1.0,0.6000000238418579
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.75
1.0,1.0
1.0,0.6000000238418579
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.800000011920929,0.5
1.0,0.25
0.6000000238418579,1.0
1.0,0.8333333134651184
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.1666666865348816
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.75,1.0
1.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333134651184
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.75
0.75,0.5
1.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
0.800000011920929,0.800000011920929
1.0,0.0
1.0,0.19999998807907104
1.0,1.0
1.0,0.25
1.0,0.75
1.0,0.1666666865348816
1.0,1.0
1.0,0.6000000238418579
1.0,1.0
1.0,1.0
1.0,0.25
0.6000000238418579,1.0
1.0,0.75
1.0,0.75
0.75,0.8333333134651184
0.75,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
0.8571428656578064,0.25
1.0,1.0
0.25,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.75
1.0,0.0
1.0,1.0
0.75,1.0
1.0,0.5
1.0,0.75
1.0,1.0
1.0,1.0
0.800000011920929,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,0.25
1.0,1.0
0.800000011920929,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.800000011920929
1.0,0.6000000238418579
1.0,0.0
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333134651184
0.5,1.0
1.0,0.0
0.800000011920929,0.0
1.0,0.800000011920929
1.0,0.75
1.0,0.5
0.8333333134651184,0.19999998807907104
1.0,0.800000011920929
1.0,0.25
1.0,0.800000011920929
1.0,0.3999999761581421
1.0,1.0
1.0,0.0
0.6000000238418579,0.3999999761581421
0.5,0.0
1.0,1.0
0.75,1.0
0.75,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,0.5
1.0,0.75
1.0,1.0
0.75,1.0
1.0,1.0
1.0,1.0
1.0,0.19999998807907104
1.0,1.0
0.5,0.0
1.0,0.25
1.0,1.0
1.0,0.0
0.800000011920929,0.19999998807907104
1.0,1.0
1.0,0.25
0.75,0.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.75
1.0,0.3999999761581421
0.75,0.6000000238418579
1.0,0.5
0.75,0.25
0.6000000238418579,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.5
0.75,1.0
1.0,0.0
1.0,1.0
0.75,1.0
1.0,1.0
1.0,1.0
0.75,0.4285714030265808
0.19999998807907104,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8571428656578064,1.0
1.0,1.0
1.0,0.800000011920929
0.75,0.800000011920929
0.75,0.25
1.0,0.5
1.0,0.0
0.800000011920929,1.0
0.75,1.0
1.0,0.6000000238418579
1.0,0.75
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.25
1.0,1.0
0.75,1.0
1.0,0.3999999761581421
1.0,1.0
1.0,0.75
1.0,0.5
1.0,1.0
1.0,1.0
1.0,0.3999999761581421
1.0,1.0
1.0,0.6000000238418579
1.0,0.800000011920929
1.0,1.0
0.800000011920929,1.0
1.0,0.8333333134651184
1.0,0.0
1.0,0.0
0.75,1.0
1.0,0.75
1.0,1.0
1.0,0.0
0.800000011920929,0.6000000238418579
1.0,1.0
1.0,1.0
1.0,0.75
1.0,1.0
0.75,1.0
1.0,0.5
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.5
1.0,1.0
0.800000011920929,0.8571428656578064
1.0,1.0
0.8333333134651184,1.0
1.0,1.0
0.75,1.0
1.0,0.5
1.0,0.5714285373687744
0.5,0.5
0.8333333134651184,0.5
1.0,1.0
1.0,1.0
1.0,0.8333333134651184
1.0,0.800000011920929
1.0,0.0
0.6000000238418579,1.0
1.0,0.6000000238418579
0.6000000238418579,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.8333333134651184
1.0,0.800000011920929
1.0,1.0
0.800000011920929,1.0
1.0,0.8333333134651184
1.0,0.25
1.0,1.0
1.0,0.8333333134651184
1.0,0.75
1.0,0.25
1.0,0.19999998807907104
0.3999999761581421,1.0
1.0,1.0
0.0,1.0
0.8333333134651184,0.800000011920929
1.0,0.3333333134651184
0.8333333134651184,0.0
1.0,1.0
1.0,0.25
0.5,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
0.800000011920929,0.3333333134651184
1.0,0.0
1.0,1.0
1.0,0.75
1.0,0.6000000238418579
0.25,1.0
0.75,1.0
1.0,0.19999998807907104
1.0,0.75
1.0,1.0
1.0,0.800000011920929
1.0,0.3999999761581421
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.800000011920929
1.0,1.0
0.800000011920929,1.0
1.0,0.0
0.6000000238418579,0.25
1.0,1.0
1.0,0.25
0.75,0.25
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.800000011920929
1.0,0.25
1.0,1.0
0.75,0.75
1.0,1.0
0.75,1.0
1.0,0.6666666269302368
1.0,0.800000011920929
0.25,1.0
1.0,0.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,1.0
1.0,1.0
0.800000011920929,1.0
1.0,1.0
1.0,0.25
1.0,0.3999999761581421
1.0,0.25
0.6000000238418579,1.0
1.0,0.2857142686843872
1.0,0.0
1.0,1.0
0.6000000238418579,0.0
1.0,1.0
0.6000000238418579,0.25
0.6000000238418579,0.5
1.0,1.0
1.0,0.800000011920929
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,1.0
1.0,1.0
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,0.8571428656578064
1.0,0.5
1.0,0.0
1.0,1.0
1.0,0.25
1.0,0.6000000238418579
1.0,1.0
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,0.25
0.75,1.0
1.0,0.7142857313156128
0.3999999761581421,1.0
0.75,0.6000000238418579
1.0,0.800000011920929
1.0,1.0
0.75,0.0
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.25
0.75,1.0
1.0,0.5
1.0,1.0
1.0,0.19999998807907104
0.25,1.0
0.800000011920929,0.19999998807907104
1.0,0.5
1.0,0.1428571343421936
1.0,0.800000011920929
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,0.4285714030265808
0.800000011920929,1.0
0.6000000238418579,1.0
1.0,0.800000011920929
1.0,0.5
0.75,0.8333333134651184
1.0,0.19999998807907104
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,0.0
0.5,1.0
1.0,0.3999999761581421
1.0,1.0
1.0,0.75
1.0,0.0
1.0,0.3999999761581421
0.6000000238418579,1.0
1.0,0.5
1.0,0.800000011920929
0.5,0.0
1.0,0.6000000238418579
1.0,1.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.75
1.0,1.0
1.0,0.8333333134651184
0.75,0.8333333134651184
0.6000000238418579,0.6000000238418579
1.0,1.0
1.0,0.75
1.0,1.0
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,0.1666666865348816
1.0,0.75
1.0,1.0
1.0,0.75
1.0,0.6666666269302368
1.0,0.6000000238418579
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,0.19999998807907104
0.800000011920929,1.0
1.0,0.3999999761581421
1.0,1.0
1.0,1.0
0.800000011920929,1.0
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.4285714030265808
1.0,0.25
1.0,1.0
1.0,1.0
1.0,1.0
0.75,0.3999999761581421
1.0,0.0
1.0,0.800000011920929
1.0,0.3999999761581421
1.0,0.0
1.0,0.800000011920929
1.0,0.3333333134651184
1.0,1.0
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
0.5,0.0
0.75,0.5
1.0,0.25
0.75,1.0
1.0,1.0
1.0,0.75
0.25,0.8333333134651184
1.0,0.6000000238418579
0.25,0.75
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.19999998807907104
0.5,1.0
1.0,0.75
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,1.0
0.800000011920929,1.0
1.0,0.5
0.75,1.0
1.0,1.0
1.0,0.75
1.0,1.0
0.6000000238418579,1.0
0.75,1.0
1.0,0.5
1.0,0.0
1.0,0.5
1.0,1.0
1.0,0.25
1.0,1.0
0.0,1.0
1.0,0.5
1.0,0.8333333134651184
0.800000011920929,0.3999999761581421
1.0,0.19999998807907104
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
0.75,0.8333333134651184
1.0,1.0
1.0,0.6000000238418579
1.0,0.6000000238418579
1.0,1.0
1.0,0.800000011920929
0.75,1.0
1.0,1.0
1.0,0.75
1.0,0.75
1.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.800000011920929
0.75,0.5
1.0,1.0
0.75,1.0
1.0,1.0
1.0,0.3333333134651184
1.0,0.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.5
0.3999999761581421,0.0
1.0,0.0
1.0,1.0
1.0,1.0
0.7142857313156128,1.0
1.0,0.800000011920929
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,0.25
0.6000000238418579,0.6000000238418579
1.0,0.5
1.0,1.0
1.0,0.800000011920929
1.0,0.0
1.0,1.0
0.25,1.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.5
1.0,1.0
1.0,0.8333333134651184
1.0,0.75
0.800000011920929,1.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,0.75
0.800000011920929,0.6000000238418579
1.0,1.0
1.0,1.0
0.75,1.0
1.0,1.0
1.0,1.0
1.0,0.800000011920929
0.75,0.6000000238418579
0.800000011920929,1.0
1.0,1.0
0.25,0.8333333134651184
1.0,1.0
1.0,0.25
1.0,0.25
1.0,1.0
1.0,0.0
1.0,0.0
1.0,1.0
0.800000011920929,0.6000000238418579
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
0.75,0.75
0.800000011920929,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.800000011920929,0.800000011920929
1.0,0.800000011920929
0.5,1.0
1.0,1.0
1.0,0.5
1.0,0.25
1.0,0.0
1.0,0.25
1.0,1.0
1.0,1.0
0.800000011920929,1.0
1.0,1.0
1.0,0.75
1.0,1.0
0.6000000238418579,1.0
0.75,1.0
0.6000000238418579,1.0
0.25,0.5
0.75,0.75
1.0,1.0
0.5,1.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,0.3999999761581421
1.0,1.0
1.0,0.6666666269302368
1.0,1.0
1.0,0.75
1.0,0.3999999761581421
0.75,1.0
1.0,0.25
1.0,0.0
1.0,0.0
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,1.0
0.75,0.8333333134651184
1.0,0.0
1.0,1.0
1.0,0.3999999761581421
1.0,1.0
1.0,1.0
1.0,0.19999998807907104
1.0,1.0
1.0,1.0
0.800000011920929,1.0
1.0,0.25
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.75,0.25
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.3999999761581421
1.0,0.800000011920929
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.19999998807907104
1.0,0.5
1.0,0.5
1.0,0.0
1.0,1.0
0.8333333134651184,0.25
0.75,0.0
1.0,1.0
1.0,1.0
0.75,0.800000011920929
1.0,0.75
1.0,1.0
1.0,1.0
1.0,0.5
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
0.75,1.0
0.800000011920929,1.0
1.0,0.5
1.0,0.0
1.0,0.75
0.25,0.5
1.0,1.0
1.0,0.8333333134651184
0.6666666269302368,1.0
0.75,0.3999999761581421
0.25,0.25
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.800000011920929,1.0
1.0,0.75
1.0,0.25
0.75,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333134651184
1.0,0.75
1.0,0.0
0.75,1.0
1.0,1.0
1.0,1.0
0.75,1.0
1.0,1.0
1.0,1.0
0.800000011920929,0.3333333134651184
1.0,1.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
0.5,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5,0.0
1.0,0.25
0.75,1.0
1.0,1.0
0.8571428656578064,1.0
0.75,0.25
0.8571428656578064,0.8333333134651184
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.6000000238418579,0.0
0.6000000238418579,0.0
1.0,0.19999998807907104
0.5,0.25
0.800000011920929,1.0
0.75,0.25
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.800000011920929
0.8333333134651184,0.800000011920929
0.75,1.0
1.0,1.0
1.0,1.0
1.0,0.6000000238418579
1.0,1.0
1.0,0.0
1.0,1.0
0.6000000238418579,0.0
1.0,0.75
1.0,1.0
1.0,0.5
1.0,0.5
1.0,1.0
0.0,0.5
1.0,0.5
1.0,1.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
0.75,0.6000000238418579
1.0,0.0
1.0,0.0
0.8333333134651184,0.5
0.75,0.0
1.0,1.0
1.0,1.0
1.0,0.19999998807907104
1.0,0.0
0.75,1.0
1.0,1.0
0.8333333134651184,1.0
1.0,0.0
1.0,0.3999999761581421
